iter_name,gi,pj,sk,cl,gmod_pa,phi_rad,psi_rad,cval_pa,x_min,x_max,spread,z_max,n_floor,retained_frac,ranoff_frac
grid_g3_p2_s1_c6,3,2,1,6,8944271.90999916,0.6,0.0583333333333333,3000.0,0.000150375,0.795298,0.7951476249999999,0.185774,641,0.004658385093167702,0.0
grid_g0_p2_s2_c0,0,2,2,0,1000000.0,0.6,0.1166666666666666,0.0,0.000109814,1.92504,1.924930186,0.229819,599,0.06987577639751552,0.0
grid_g6_p2_s1_c4,6,2,1,4,80000000.00000003,0.6,0.0583333333333333,2000.0,0.00164437,0.878619,0.8769746300000001,0.145554,632,0.018633540372670808,0.0
grid_g5_p2_s1_c5,5,2,1,5,38539699.35995991,0.6,0.0583333333333333,2500.0,0.00183914,0.80686,0.8050208600000001,0.149061,623,0.03260869565217391,0.0
grid_g1_p2_s2_c0,1,2,2,0,2075781.6311124284,0.6,0.1166666666666666,0.0,0.00378952,1.78238,1.77859048,0.16660999999999998,602,0.062111801242236024,0.0015527950310559005
grid_g4_p2_s1_c6,4,2,1,6,18566355.33445113,0.6,0.0583333333333333,3000.0,0.00234171,0.773947,0.77160529,0.170596,635,0.013975155279503106,0.0
grid_g2_p2_s2_c0,2,2,2,0,4308869.380063765,0.6,0.1166666666666666,0.0,0.00183241,1.70605,1.70421759,0.139309,615,0.043478260869565216,0.0
grid_g5_p2_s1_c6,5,2,1,6,38539699.35995991,0.6,0.0583333333333333,3000.0,0.000597665,0.775637,0.775039335,0.170043,629,0.023291925465838508,0.0
grid_g3_p2_s2_c0,3,2,2,0,8944271.90999916,0.6,0.1166666666666666,0.0,0.00115808,1.6372,1.63604192,0.138218,617,0.040372670807453416,0.0
grid_g0_p2_s2_c1,0,2,2,1,1000000.0,0.6,0.1166666666666666,500.0,0.000134114,1.8431,1.842965886,0.209774,589,0.06677018633540373,0.012422360248447204
grid_g6_p2_s1_c5,6,2,1,5,80000000.00000003,0.6,0.0583333333333333,2500.0,0.00180813,0.85492,0.85311187,0.167851,636,0.012422360248447204,0.0
grid_g1_p2_s2_c1,1,2,2,1,2075781.6311124284,0.6,0.1166666666666666,500.0,0.00567671,1.7957,1.7900232900000002,0.20663399999999998,601,0.062111801242236024,0.003105590062111801
grid_g4_p2_s2_c0,4,2,2,0,18566355.33445113,0.6,0.1166666666666666,0.0,0.00537154,1.57802,1.57264846,0.11845710000000001,630,0.021739130434782608,0.0
grid_g2_p2_s2_c1,2,2,2,1,4308869.380063765,0.6,0.1166666666666666,500.0,0.00122099,1.6354,1.63417901,0.17840799999999998,614,0.03881987577639751,0.0
grid_g6_p2_s1_c6,6,2,1,6,80000000.00000003,0.6,0.0583333333333333,3000.0,0.00500657,0.671371,0.66636443,0.19503299999999998,641,0.004658385093167702,0.0
